time_s,LoPE,LaPE,VPE,LoPL_adjusted,LaPL_adjusted,VPL_adjusted
10.90499997,0.00770099,0.00124290,0.03800000,0.81221154,0.19116577,0.86577771
11.00500011,0.00902778,0.00037300,0.03600000,0.79361661,0.19719048,0.83483749
11.10500002,0.00790830,0.00050866,0.03400000,0.79141086,0.19740761,0.86244044
11.20499992,0.00056318,0.00146042,0.03800000,0.73694640,0.19874004,0.86281497
11.30500007,0.00674472,0.00810424,0.03900000,0.74248615,0.19867703,0.86902564
11.40499997,0.00146829,0.00452152,0.04200000,0.73761829,0.20014668,0.87640354
11.50500011,0.00252210,0.00440670,0.03900000,0.70732174,0.21077205,0.83035101
11.60500002,0.00217479,0.00335265,0.03800000,0.70985341,0.21483204,0.83212140
11.70499992,0.00330897,0.00248812,0.03100000,0.72632943,0.20430761,0.84212853
11.80500007,0.00134971,0.00348113,0.03400000,0.71529618,0.20163588,0.87144582
11.90499997,0.00338161,0.00238845,0.03600000,0.69645135,0.21241386,0.86061331
12.00500011,0.01312647,0.02114085,0.03300000,0.71173968,0.25078120,0.83907974
12.10500002,0.01490601,0.03753533,0.02400000,0.72644057,0.25263578,0.83121186
12.20499992,0.01462090,0.02839700,0.02900000,0.70625783,0.25308285,0.82401462
12.30500007,0.01749670,0.03198071,0.02800000,0.78701918,0.26300468,0.81759324
12.40499997,0.01467465,0.02009713,0.03600000,0.72572368,0.25686739,0.82604883
12.50500011,0.01341336,0.02422668,0.04200000,0.71429123,0.26389769,0.82064628
12.60500002,0.00917103,0.02688740,0.05200000,0.69719651,0.26987075,0.86681215
12.70499992,0.01001638,0.02829898,0.04600000,0.70334676,0.27115602,0.86567180
12.80500007,0.00986512,0.02755085,0.05000000,0.73567886,0.27925653,0.85834958
12.90499997,0.01144093,0.03043937,0.05200000,0.70541572,0.27788053,0.84590761
13.00500011,0.00291548,0.02792991,0.04500000,0.70316734,0.27102042,0.83848451
13.10500002,0.00303843,0.02826691,0.04300000,0.68827597,0.25963859,0.84030522
13.20499992,0.00878747,0.03254951,0.04700000,0.69781940,0.26648820,0.84195870
13.30599999,0.01533225,0.02862835,0.04900000,0.67724438,0.25619359,0.82683264
13.40599990,0.01892076,0.03141870,0.05300000,0.67678244,0.25639758,0.83649266
13.50600004,0.02332723,0.01805798,0.07600000,0.69495090,0.22677813,0.90691214
13.60599995,0.02828857,0.01197734,0.08200000,0.74225529,0.22179629,0.88193496
13.70600009,0.02891603,0.00470246,0.08700000,0.73365530,0.21090360,0.91277996
13.80599999,0.03679036,0.00666029,0.07200000,0.72791831,0.20727696,0.90740850
13.90599990,0.02201929,0.02003874,0.07200000,0.67427050,0.22344299,0.91498407
14.00600004,0.01055216,0.02154140,0.07700000,0.64714073,0.24254752,0.90770081
14.10599995,0.01653536,0.02772710,0.07900000,0.67596109,0.24937677,0.91400409
14.20600009,0.02370653,0.03237917,0.07300000,0.67525165,0.25217176,0.91689174
14.30599999,0.01811163,0.03769269,0.07200000,0.69883885,0.26383177,0.93881228
14.40599990,0.01520771,0.01322178,0.08200000,0.71564627,0.23049256,0.95794716
14.50600004,0.01914259,0.00839592,0.07400000,0.70053942,0.22677916,0.94474870
14.60599995,0.03174482,0.00540985,0.06900000,0.78387971,0.21178969,0.95660591
14.70600009,0.03658877,0.01327938,0.05900000,0.78170013,0.21812184,0.93267178
14.80599999,0.04171662,0.01148277,0.05700000,0.78687890,0.22399152,0.91893007
14.90599990,0.02714904,0.00887580,0.06400000,0.74766008,0.22746181,0.90310854
15.00600004,0.03160541,0.00943121,0.05300000,0.72744110,0.22363065,0.87744702
15.10599995,0.02719412,0.01391688,0.05100000,0.71701461,0.22520593,0.89329086
15.20600009,0.03405435,0.01903973,0.04600000,0.74740879,0.23039411,0.83043668
15.30599999,0.03599756,0.01311128,0.05200000,0.81140483,0.22161837,0.88884208
15.40599990,0.04321395,0.01124965,0.04900000,0.79250889,0.22141852,0.82473846
15.50600004,0.05310545,0.00600510,0.05400000,0.80211864,0.21643286,0.88483882
15.60599995,0.05325214,0.00476543,0.05200000,0.80515821,0.20958798,0.89704659
15.70600009,0.04327320,0.01148566,0.04200000,0.80110693,0.20996721,0.83695314
15.80599999,0.02994347,0.00843140,0.04000000,0.74119719,0.21093316,0.83908326
15.90700006,0.03221289,0.00826257,0.03700000,0.74157728,0.20383950,0.84541036
16.00699997,0.04317405,0.03625261,0.02200000,0.79557185,0.23793031,0.84682299
